"Freq [GHz]","Phi [deg]","Theta [deg]","mag(rEX) [V]"
2.6,0,0,10.6907684816086
2.6,0,1,10.3688544649859
2.6,0,2,10.0700413041401
2.6,0,3,9.80922499902271
2.6,0,4,9.59877676071698
2.6,0,5,9.44789294356076
2.6,0,6,9.36217142289374
2.6,0,7,9.34342360988844
2.6,0,8,9.3897078915348
2.6,0,9,9.4955578954629
2.6,0,10,9.65237830887851
2.6,0,11,9.84898533184441
2.6,0,12,10.072269665726
2.6,0,13,10.3079534335125
2.6,0,14,10.5414013047695
2.6,0,15,10.7584361396076
2.6,0,16,10.9461051961316
2.6,0,17,11.0933457309954
2.6,0,18,11.191507506031
2.6,0,19,11.2347021239733
2.6,0,20,11.2199631866139
2.6,0,21,11.1472154791769
2.6,0,22,11.0190647655932
2.6,0,23,10.8404317577083
2.6,0,24,10.6180640477424
2.6,0,25,10.3599679737586
2.6,0,26,10.0748081152213
2.6,0,27,9.77132472184271
2.6,0,28,9.45781789249063
2.6,0,29,9.14174065452762
2.6,0,30,8.82943054486459
2.6,0,31,8.52599127343812
2.6,0,32,8.23531470262217
2.6,0,33,7.96021260338355
2.6,0,34,7.70261222319228
2.6,0,35,7.46376368078864
2.6,0,36,7.24441237724049
2.6,0,37,7.04490475930124
2.6,0,38,6.86521703467133
2.6,0,39,6.70491850171229
2.6,0,40,6.56309864097025
2.6,0,41,6.43829586681292
2.6,0,42,6.32846397663217
2.6,0,43,6.23100091993505
2.6,0,44,6.14284738932454
2.6,0,45,6.06064531039317
2.6,0,46,5.98093352916673
2.6,0,47,5.90035258494158
2.6,0,48,5.81583228466647
2.6,0,49,5.72474259806283
2.6,0,50,5.62499717096207
2.6,0,51,5.51510700068584
2.6,0,52,5.39418809283056
2.6,0,53,5.26193081190182
2.6,0,54,5.11854040872534
2.6,0,55,4.96465840342164
2.6,0,56,4.80127369437371
2.6,0,57.0000000000001,4.62963091539311
2.6,0,58.0000000000001,4.45114200214601
2.6,0,59.0000000000001,4.26730536190871
2.6,0,60.0000000000001,4.07963558764769
2.6,0,61.0000000000001,3.88960538105847
2.6,0,62.0000000000001,3.69860027770279
2.6,0,63.0000000000001,3.50788590853964
2.6,0,64.0000000000001,3.31858688157715
2.6,0,65.0000000000001,3.13167591290652
2.6,0,66.0000000000001,2.94797156023923
2.6,0,67.0000000000001,2.76814279212628
2.6,0,68.0000000000001,2.59271863678612
2.6,0,69.0000000000001,2.42210126812986
2.6,0,70.0000000000001,2.2565810744616
2.6,0,71.0000000000001,2.09635248941707
2.6,0,72.0000000000001,1.94152961922229
2.6,0,73.0000000000001,1.79216095324451
2.6,0,74.0000000000001,1.64824267876265
2.6,0,75.0000000000001,1.50973032387475
2.6,0,76.0000000000001,1.37654861769606
2.6,0,77.0000000000001,1.24859958239391
2.6,0,78.0000000000001,1.12576895886049
2.6,0,79.0000000000001,1.00793112136797
2.6,0,80.0000000000001,0.894952662436983
2.6,0,81.0000000000001,0.786694834121294
2.6,0,82.0000000000001,0.68301502266122
2.6,0,83.0000000000001,0.583767416151551
2.6,0,84.0000000000001,0.488803004890593
2.6,0,85.0000000000001,0.397969035949962
2.6,0,86.0000000000001,0.311108030931145
2.6,0,87.0000000000001,0.228056471798038
2.6,0,88.0000000000001,0.14864326631417
2.6,0,89.0000000000001,0.0726881233931322
2.6,0,90.0000000000001,1.00700597972834e-14
2.6,0,91.0000000000001,0.0696241758854978
2.6,0,92.0000000000001,0.13640025029731
2.6,0,93.0000000000001,0.200556745951361
2.6,0,94.0000000000001,0.262333563565517
2.6,0,95.0000000000001,0.321979091991933
2.6,0,96.0000000000001,0.379745338904338
2.6,0,97.0000000000001,0.435880743296079
2.6,0,98.0000000000001,0.490620441761811
2.6,0,99.0000000000001,0.544173939447816
2.6,0,100,0.596710380285071
2.6,0,101,0.648341903335825
2.6,0,102,0.699105884079034
2.6,0,103,0.74894715481421
2.6,0,104,0.79770154113402
2.6,0,105,0.845082215493513
2.6,0,106,0.890670445204719
2.6,0,107,0.933912310917056
2.6,0,108,0.974122918945122
2.6,0,109,1.01049956162525
2.6,0,110,1.04214523058054
2.6,0,111,1.0681038917612
2.6,0,112,1.08740901895198
2.6,0,113,1.09914708458219
2.6,0,114,1.1025380524865
2.6,0,115,1.0970354140155
2.6,0,116,1.08244886241889
2.6,0,117,1.05909288610169
2.6,0,118,1.02796304620667
2.6,0,119,0.990934972943362
2.6,0,120,0.9509612864402
2.6,0,121,0.912195101005976
2.6,0,122,0.879885053301653
2.6,0,123,0.859800775055835
2.6,0,124,0.8570129512334
2.6,0,125,0.874273924407119
2.6,0,126,0.910827148583361
2.6,0,127,0.962423653490402
2.6,0,128,1.02242445627271
2.6,0,129,1.08318373014746
2.6,0,130,1.13710592043094
2.6,0,131,1.17728210683967
2.6,0,132,1.19786693914713
2.6,0,133,1.1943648335791
2.6,0,134,1.16393459091961
2.6,0,135,1.10579068222611
2.6,0,136,1.021805304192
2.6,0,137,0.917518319468165
2.6,0,138,0.8039444921524
2.6,0,139,0.700477068492269
2.6,0,140,0.636576052663822
2.6,0,141,0.641577056846276
2.6,0,142,0.719324075370114
2.6,0,143,0.844309555798827
2.6,0,144,0.985078854498089
2.6,0,145,1.1170908159713
2.6,0,146,1.22286050281336
2.6,0,147,1.29005200142145
2.6,0,148,1.31052058954818
2.6,0,149,1.28023206990061
2.6,0,150,1.19981582499485
2.6,0,151,1.07589917314556
2.6,0,152,0.924081692880132
2.6,0,153,0.775451586585044
2.6,0,154,0.68514145249474
2.6,0,155,0.713496845509147
2.6,0,156,0.859662469991945
2.6,0,157,1.06689562176129
2.6,0,158,1.28328182270783
2.6,0,159,1.47486053604398
2.6,0,160,1.61918012823363
2.6,0,161,1.70111704249114
2.6,0,162,1.7113953591142
2.6,0,163,1.64624699531722
2.6,0,164,1.50746168862476
2.6,0,165,1.30263274602912
2.6,0,166,1.04596230161881
2.6,0,167,0.76167369937915
2.6,0,168,0.500505692236219
2.6,0,169,0.396828333933835
2.6,0,169.999999999999,0.545941156670518
2.6,0,170.999999999999,0.783999185214327
2.6,0,171.999999999999,1.00459962901973
2.6,0,172.999999999999,1.16941053517412
2.6,0,173.999999999999,1.26007160216969
2.6,0,174.999999999999,1.26746023073309
2.6,0,175.999999999999,1.1893590124912
2.6,0,176.999999999999,1.02971728946145
2.6,0,177.999999999999,0.798108993650072
2.6,0,178.999999999999,0.509144258624422
2.6,0,179.999999999999,0.183451128007138
2.6,1,0,10.6907684816086
2.6,1,1,10.3706114587858
2.6,1,2,10.0736308281488
2.6,1,3,9.81471547541119
2.6,1,4,9.60622414328975
2.6,1,5,9.45733397439205
2.6,1,6,9.37361593379945
2.6,1,7,9.35684681755338
2.6,1,8,9.40504405357185
2.6,1,9,9.51269679397972
2.6,1,10,9.67116568980702
2.6,1,11,9.86922773480788
2.6,1,12,10.0937432783389
2.6,1,13,10.3304159623586
2.6,1,14,10.5646055202551
2.6,1,15,10.7821437169932
2.6,1,16,10.9700996406928
2.6,1,17,11.1174434312588
2.6,1,18,11.2155662322975
2.6,1,19,11.2586265489607
2.6,1,20,11.2437072454686
2.6,1,21,11.1707816092316
2.6,1,22,11.0425002714684
2.6,1,23,10.863822729012
2.6,1,24,10.641527405592
2.6,1,25,10.3836423281551
2.6,1,26,10.0988441674266
2.6,1,27,9.79587593420361
2.6,1,28,9.48303206407999
2.6,1,29,9.16775288132636
2.6,1,30,8.85635781700564
2.6,1,31,8.55392869782727
2.6,1,32,8.26433308711529
2.6,1,33,7.9903569611415
2.6,1,34,7.73390070737325
2.6,1,35,7.49618656301177
2.6,1,36,7.27793091369874
2.6,1,37,7.07945007599127
2.6,1,38,6.90068941147201
2.6,1,39,6.74118755143266
2.6,1,40,6.60000480918266
2.6,1,41,6.47565343135346
2.6,1,42,6.36606538372464
2.6,1,43,6.26862198431535
2.6,1,44,6.18025272697744
